id_municipio,sigla_uf,populacao_urbana_2013,populacao_urbana_2035,prestador_servico_esgotamento_sanitario,sigla_prestador,indice_sem_atendimento_sem_coleta_sem_tratamento,indice_atendimento_solucao_individual,indice_atendimento_com_coleta_sem_tratamento,indice_atendimento_com_coleta_com_tratamento,vazao_sem_coleta_sem_tratamento,vazao_solucao_individual,vazao_com_coleta_sem_tratamento,vazao_com_coleta_com_tratamento,vazao_total,carga_gerada_sem_coleta_sem_tratamento,carga_gerada_encaminhada_solucao_individual,carga_gerada_com_coleta_sem_tratamento,carga_gerada_com_coleta_com_tratamento,carga_gerada_total,carga_lancada_sem_coleta_sem_tratamento,carga_lancada_proveniente_solucao_individual,carga_lancada_com_coleta_sem_tratamento,carga_lancada_com_coleta_com_tratamento,carga_lancada_total,indice_atendimento_etes_2035,indice_atendimento_solucao_individual_2035,carga_gerada_total_2035,carga_afluente_ete_2035,carga_efluente_ete_2035,carga_afluente_solucao_individual_2035,carga_efluente_solucao_individual_2035,populacao_atendida_2035,investimento_coleta,investimento_tratamento,investimento_coleta_tratatamento,necessidade_remocao_dbo,tipologia_solucao,atencao_fosforo,atencao_nitrogenio
1100122,RO,115123,139345,Companhia de Águas e Esgotos de Rondônia,CAERD,0.7709,0.1863,0.0428,0,145,35,8,0,188,4792.3,1158.3,266,0,6216.6,4792.3,463.3,266,0,5521.7,0.9,0.1,7524.6,6772.1,2708.9,752.5,301,125411,133737253.46,28718950.4167,162456203.877,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100130,RO,18509,30581,Prefeitura Municipal de Machadinho D Oeste,PM,0.9647,0.0275,0.0079,0,31.6,0.9,0.3,0,32.8,964.2,27.4,7.8,0,999.5,964.2,11,7.8,0,983,0.9,0.1,1651.4,1486.3,594.5,165.1,66,27523,33592085.2662,6337774.03344,39929859.2996,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100148,RO,9035,15799,Prefeitura Municipal de Nova Brasilândia D Oeste,PM,0.9204,0.06,0.0196,0,13.1,0.9,0.3,0,14.3,449.1,29.3,9.5,0,487.9,449.1,11.7,9.5,0,470.3,0.9,0.1,853.1,767.8,76.8,85.3,34.1,14219,17229989.0691,4379510.36452,21609499.4336,Acima de 80%,Tratamento secundário avançado,Não,Não
1100155,RO,29793,29335,Prefeitura Municipal de Ouro Preto do Oeste,PM,0.9044,0.0754,0.0201,0,39.9,3.3,0.9,0,44.1,1455.1,121.4,32.4,0,1608.8,1455.1,48.6,32.4,0,1536,0.9,0.1,1584.1,1425.7,285.1,158.4,63.4,26402,30173703.4752,4114409.28846,34288112.7637,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100189,RO,32128,37692,Prefeitura Municipal de Pimenta Bueno,PM,0.6022,0.3032,0.0946,0,28.4,14.3,4.5,0,47.1,1044.8,526,164.2,0,1734.9,1044.8,210.4,164.2,0,1419.3,0.9,0.1,2035.4,1831.9,732.7,203.5,81.4,33923,36101840.7365,7538851.59986,43640692.3363,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100205,RO,442218,604655,Companhia de Águas e Esgotos de Rondônia,CAERD,0.547,0.3507,0.1023,0,398.9,255.8,74.6,0,729.3,13061.8,8374.9,2443.1,0,23879.8,13061.8,3350,2443.1,0,18854.8,1,0,32651.4,32651.4,6530.2,0,0,604655,605843993.295,138466006.185,744309999.481,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100254,RO,13719,14082,Prefeitura Municipal de Presidente Médici,PM,0.9686,0.013,0.0184,0,20,0.3,0.4,0,20.7,717.5,9.6,13.6,0,740.8,717.5,3.9,13.6,0,735,0.9,0.1,760.4,684.4,273.8,76,30.4,12674,15241019.5767,3329750.46511,18570770.0418,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100262,RO,1176,2019,Prefeitura Municipal de Rio Crespo,PM,0.9953,0.0047,0,0,1.9,0,0,0,1.9,63.2,0.3,0,0,63.5,63.2,0.1,0,0,63.3,0.9,0.1,109,98.1,39.2,10.9,4.4,1817,2940169.79364,416130.335441,3356300.12908,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100288,RO,45281,56233,Prefeitura Municipal de Rolim de Moura,PM,0.8159,0.1683,0,0.0158,56.9,11.7,0,1.1,69.7,1995,411.6,0,38.6,2445.2,1995,164.6,0,38.6,2198.2,0.9,0.1,3036.6,2732.9,273.3,303.7,121.5,50610,58326879.9321,16313832.5896,74640712.5217,Acima de 80%,Tratamento secundário avançado,Não,Não
1100296,RO,4526,5517,Prefeitura Municipal de Santa Luzia D Oeste,PM,0.9604,0.011,0.0285,0,6.3,0.1,0.2,0,6.6,234.7,2.7,7,0,244.4,234.7,1.1,7,0,242.8,0.9,0.1,297.9,268.1,107.2,29.8,11.9,4965,7825637.50152,1529860.74173,9355498.24325,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100304,RO,83140,114589,Serviço Autônomo de Água e Esgoto,SAAE,0.8575,0.1221,0.0203,0,158.4,22.6,3.8,0,184.8,3850,548.4,91.2,0,4489.6,3850,219.3,91.2,0,4160.5,0.9,0.1,6187.8,5569,556.9,618.8,247.5,103130,112599832.135,27779510.0067,140379342.142,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100320,RO,9184,11866,Prefeitura Municipal de São Miguel do Guaporé,PM,0.9579,0.0287,0.0135,0,13.9,0.4,0.2,0,14.5,475,14.2,6.7,0,495.9,475,5.7,6.7,0,487.4,0.9,0.1,640.8,576.7,230.7,64.1,25.6,10679,12952237.0251,2888644.62331,15840881.6484,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100338,RO,15200,24881,Prefeitura Municipal de Nova Mamoré,PM,0.9028,0.0917,0.0055,0,22,2.2,0.1,0,24.3,741,75.3,4.5,0,820.8,741,30.1,4.5,0,775.6,0.9,0.1,1343.6,1209.2,483.7,134.4,53.8,22393,27373490.1547,5340552.93485,32714043.0895,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100346,RO,9110,10527,Serviço Autônomo de Água e Esgoto de Alvorada D'Oeste,SAAE,0.067,0.033,0.0011,0.8989,0.9,0.5,0,12.7,14.2,33,16.2,0.5,442.2,491.9,33,6.5,0.5,110.6,150.5,0.9,0.1,568.5,511.7,127.9,56.9,22.8,9474,1564551.99111,213300.421341,1777852.41245,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100379,RO,3945,7763,Prefeitura Municipal de Alto Alegre dos Parecis,PM,0.9822,0.0038,0.0139,0,3.1,0,0,0,3.2,209.2,0.8,3,0,213,209.2,0.3,3,0,212.5,0.9,0.1,419.2,377.3,37.7,41.9,16.8,6987,11215690.1589,2151946.64105,13367636.8,Acima de 80%,Tratamento secundário avançado,Não,Não
1100403,RO,9314,15338,Prefeitura Municipal de Alto Paraíso,PM,0.8663,0.1286,0.0051,0,9.2,1.4,0.1,0,10.7,435.7,64.7,2.6,0,503,435.7,25.9,2.6,0,464.1,0.9,0.1,828.3,745.5,298.2,82.8,33.1,13804,16879535.1394,3574441.74991,20453976.8893,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100452,RO,20457,26784,Prefeitura Municipal de Buritis,PM,0.9694,0.0253,0.0053,0,30.2,0.8,0.2,0,31.2,1070.8,28,5.9,0,1104.7,1070.8,11.2,5.9,0,1087.9,0.9,0.1,1446.3,1301.7,260.3,144.6,57.8,24106,28052366.4143,3892237.07284,31944603.4871,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100502,RO,1780,5356,Prefeitura Municipal de Novo Horizonte do Oeste,PM,0.9821,0.0127,0.0052,0,2.1,0,0,0,2.1,94.4,1.2,0.5,0,96.1,94.4,0.5,0.5,0,95.4,0.9,0.1,289.2,260.3,104.1,28.9,11.6,4820,7783982.2487,1103805.35968,8887787.60838,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100601,RO,2261,2935,Prefeitura Municipal de Cacaulândia,PM,0.5355,0.4587,0.0058,0,1.5,1.3,0,0,2.9,65.4,56,0.7,0,122.1,65.4,22.4,0.7,0,88.5,0.9,0.1,158.5,142.7,57.1,15.9,6.4,2642,4253254.02402,604977.776219,4858231.80024,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100700,RO,3710,4671,Prefeitura Municipal de Campo Novo de Rondônia,PM,0.984,0.0042,0.0119,0,7.2,0,0.1,0,7.3,197.1,0.8,2.4,0,200.3,197.1,0.3,2.4,0,199.8,0.9,0.1,252.2,227,90.8,25.2,10.1,4204,6731139.5092,962757.891912,7693897.40111,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100809,RO,14968,20388,Prefeitura Municipal de Candeias do Jamari,PM,0.8582,0.0806,0.0611,0,19.1,1.8,1.4,0,22.3,693.7,65.2,49.4,0,808.3,693.7,26.1,49.4,0,769.2,0.9,0.1,1101,990.9,396.3,110.1,44,18349,21391667.6724,4526869.64367,25918537.316,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100908,RO,863,1758,Prefeitura Municipal de Castanheiras,PM,0.9629,0.0347,0.0024,0,0.8,0,0,0,0.8,44.9,1.6,0.1,0,46.6,44.9,0.6,0.1,0,45.6,0.9,0.1,94.9,85.4,34.2,9.5,3.8,1582,2556801.48744,362343.95418,2919145.44162,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100924,RO,4252,7812,Prefeitura Municipal de Chupinguaia,PM,0.9705,0.0093,0.0202,0,6.1,0.1,0.1,0,6.2,222.8,2.1,4.6,0,229.6,222.8,0.9,4.6,0,228.3,0.9,0.1,421.8,379.6,151.9,42.2,16.9,7031,11236657.3748,2041739.32157,13278396.6964,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1100940,RO,13520,19043,Prefeitura Municipal de Cujubim,PM,0.8903,0.1015,0.0081,0,19.5,2.2,0.2,0,21.9,650,74.1,6,0,730.1,650,29.6,6,0,685.6,0.9,0.1,1028.3,925.5,370.2,102.8,41.1,17139,20893739.2842,4277498.65272,25171237.9369,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101005,RO,2366,5660,Prefeitura Municipal de Governador Jorge Teixeira,PM,0.4718,0.5172,0.011,0,1.6,1.8,0,0,3.5,60.3,66.1,1.4,0,127.8,60.3,26.4,1.4,0,88.1,0.9,0.1,305.6,275,55,30.6,12.2,5094,8199290.11917,845537.847106,9044827.96628,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101104,RO,5890,9810,Prefeitura Municipal de Itapuã do Oeste,PM,0.9784,0.005,0.0167,0,12.4,0.1,0.2,0,12.7,311.2,1.6,5.3,0,318.1,311.2,0.6,5.3,0,317.1,0.9,0.1,529.7,476.7,190.7,53,21.2,8829,10712471.1551,2466543.51426,13179014.6694,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101203,RO,3236,5610,Prefeitura Municipal de Ministro Andreazza,PM,0.8562,0.0569,0.0869,0,3.9,0.3,0.4,0,4.5,149.6,9.9,15.2,0,174.7,149.6,4,15.2,0,168.8,0.9,0.1,302.9,272.6,109,30.3,12.1,5049,7714144.7402,1551089.38991,9265234.13011,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101302,RO,6765,7504,Prefeitura Municipal de Mirante da Serra,PM,0.9887,0.0113,0,0,9.3,0.1,0,0,9.4,361.2,4.1,0,0,365.3,361.2,1.7,0,0,362.8,0.9,0.1,405.2,364.7,145.9,40.5,16.2,6754,8287109.29829,1974813.15771,10261922.456,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101401,RO,8150,12894,Prefeitura Municipal de Monte Negro,PM,0.9766,0.0142,0.0092,0,10.6,0.2,0.1,0,10.8,429.8,6.3,4,0,440.1,429.8,2.5,4,0,436.3,0.9,0.1,696.3,626.7,250.7,69.6,27.8,11605,14147213.4549,3094890.37102,17242103.8259,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101435,RO,1621,3604,Prefeitura Municipal de Nova União,PM,0.9968,0.0013,0.0019,0,2,0,0,0,2,87.2,0.1,0.2,0,87.5,87.2,0,0.2,0,87.5,0.9,0.1,194.6,175.1,70.1,19.5,7.8,3244,5242366.73643,742689.279888,5985056.01632,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101450,RO,2020,4074,Prefeitura Municipal de Parecis,PM,0.9865,0.0051,0.0085,0,3.1,0,0,0,3.2,107.6,0.6,0.9,0,109.1,107.6,0.2,0.9,0,108.7,0.9,0.1,220,198,79.2,22,8.8,3667,5904932.8685,839652.756091,6744585.62459,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101468,RO,1362,1205,Prefeitura Municipal de Pimenteiras do Oeste,PM,0.9683,0.0116,0.0201,0,1.6,0,0,0,1.7,71.2,0.9,1.5,0,73.5,71.2,0.3,1.5,0,73,0.9,0.1,65.1,58.6,23.4,6.5,2.6,1085,1715558.4831,248361.029219,1963919.51232,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101476,RO,1311,1885,Serviço Autônomo de Água e Esgoto de Primavera de Rondônia,SAAE,0.972,0.0164,0.0117,0,2.8,0,0,0,2.9,68.8,1.2,0.8,0,70.8,68.8,0.5,0.8,0,70.1,0.9,0.1,101.8,91.6,36.6,10.2,4.1,1697,2720000.90985,388476.457733,3108477.36758,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101484,RO,1492,3228,Prefeitura Municipal de São Felipe D Oeste,PM,0.9806,0.0055,0.0139,0,3.2,0,0,0,3.3,79,0.4,1.1,0,80.6,79,0.2,1.1,0,80.3,0.9,0.1,174.3,156.9,62.8,17.4,7,2905,4666814.66987,665239.388019,5332054.05788,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101492,RO,9371,16195,Prefeitura Municipal de São Francisco do Guaporé,PM,0.9706,0.0263,0.0032,0,13.4,0.4,0,0,13.8,491.1,13.3,1.6,0,506,491.1,5.3,1.6,0,498.1,0.9,0.1,874.5,787.1,314.8,87.5,35,14576,17847941.7927,3739407.34842,21587349.1411,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101500,RO,4728,6511,Prefeitura Municipal de Seringueiras,PM,0.9045,0.0889,0.0066,0,6.7,0.7,0,0,7.4,230.9,22.7,1.7,0,255.3,230.9,9.1,1.7,0,241.7,0.9,0.1,351.6,316.4,126.6,35.2,14.1,5860,9430221.7101,1755160.77666,11185382.4868,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101559,RO,1783,2646,Prefeitura Municipal de Teixeirópolis,PM,0.9796,0.007,0.0134,0,2.1,0,0,0,2.1,94.3,0.7,1.3,0,96.3,94.3,0.3,1.3,0,95.9,0.9,0.1,142.9,128.6,51.4,14.3,5.7,2381,3813835.54269,545255.303425,4359090.84612,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101609,RO,2107,5492,Prefeitura Municipal de Theobroma,PM,0.8448,0.1244,0.0308,0,2.5,0.4,0.1,0,3,96.1,14.2,3.5,0,113.8,96.1,5.7,3.5,0,105.3,0.9,0.1,296.6,266.9,106.8,29.7,11.9,4943,7892475.67924,1524043.24936,9416518.9286,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101708,RO,5342,7014,Prefeitura Municipal de Urupá,PM,0.8361,0.1557,0.0082,0,6.9,1.3,0.1,0,8.2,241.2,44.9,2.4,0,288.5,241.2,18,2.4,0,261.5,0.9,0.1,378.8,340.9,136.4,37.9,15.2,6313,7692490.18259,1867194.4263,9559684.60889,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101757,RO,3578,8127,Prefeitura Municipal de Vale do Anari,PM,0.9956,0.0044,0,0,4.7,0,0,0,4.7,192.4,0.8,0,0,193.2,192.4,0.3,0,0,192.7,0.9,0.1,438.9,395,158,43.9,17.6,7314,11834980.682,2109936.34775,13944917.0297,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1101807,RO,2336,4382,Prefeitura Municipal de Vale do Paraíso,PM,0.9969,0.0022,0.0009,0,2.7,0,0,0,2.7,125.8,0.3,0.1,0,126.1,125.8,0.1,0.1,0,126,0.9,0.1,236.6,212.9,85.2,23.7,9.5,3944,6377319.66179,903069.704561,7280389.36635,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200013,AC,6301,12193,Prefeitura Municipal de Acrelândia,PM,0.7794,0.2103,0.0103,0,9,2.4,0.1,0,11.5,265.2,71.5,3.5,0,340.3,265.2,28.6,3.5,0,297.3,0.9,0.1,658.4,592.6,237,65.8,26.3,10974,13384773.8617,2954466.95562,16339240.8173,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200054,AC,3949,6064,Prefeitura Municipal de Assis Brasil,PM,0.6543,0.3022,0.0435,0,4.6,2.1,0.3,0,7.1,139.5,64.4,9.3,0,213.2,139.5,25.8,9.3,0,174.6,1,0,327.5,327.5,54.6,0,0,6064,9533633.05456,1805870.56821,11339503.6228,Acima de 80%,Tratamento secundário avançado,Não,Não
1200104,AC,15257,22998,Prefeitura Municipal de Brasiléia,PM,0.6287,0.1311,0,0.2402,17.5,3.7,0,6.7,27.8,518,108,0,197.9,823.9,518,43.2,0,59.4,620.6,0.9,0.1,1241.9,1117.7,335.3,124.2,49.7,20698,20901071.3586,4255899.47755,25156970.8361,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200138,AC,3925,8318,Prefeitura Municipal de Bujari,PM,0.7528,0.2264,0.0209,0,5.7,1.7,0.2,0,7.5,159.6,48,4.4,0,212,159.6,19.2,4.4,0,183.2,0.9,0.1,449.2,404.3,161.7,44.9,18,7486,11980444.1681,2150972.95529,14131417.1234,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200179,AC,4393,8839,Prefeitura Municipal de Capixaba,PM,0.4645,0.5116,0.0239,0,3.5,3.9,0.2,0,7.5,110.2,121.4,5.7,0,237.2,110.2,48.5,5.7,0,164.4,0.9,0.1,477.3,429.6,85.9,47.7,19.1,7955,12701394.6858,1320556.48759,14021951.1734,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200203,AC,56644,77692,Prefeitura Municipal de Cruzeiro do Sul,PM,0.8293,0.109,0.0617,0,75.7,10,5.6,0,91.3,2536.7,333.5,188.6,0,3058.8,2536.7,133.4,188.6,0,2858.7,0.9,0.1,4195.4,3775.9,1510.3,419.5,167.8,69923,73737027.2835,13741283.06,87478310.3435,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200252,AC,11320,19091,Prefeitura Municipal de Epitaciolândia,PM,0.7162,0.232,0.0518,0,15.2,4.9,1.1,0,21.2,437.8,141.8,31.7,0,611.3,437.8,56.7,31.7,0,526.2,0.9,0.1,1030.9,927.8,371.1,103.1,41.2,17182,20363076.995,4286546.81979,24649623.8148,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200302,AC,16635,28234,Prefeitura Municipal de Feijó,PM,0.8401,0.1103,0.0496,0,24.1,3.2,1.4,0,28.7,754.7,99.1,44.5,0,898.3,754.7,39.6,44.5,0,838.8,1,0,1524.6,1524.6,254.2,0,0,28234,33630509.0796,6473355.3328,40103864.4124,Acima de 80%,Tratamento secundário avançado,Não,Não
1200328,AC,2469,6479,Prefeitura Municipal de Jordão,PM,0.8715,0.1136,0.015,0,3.2,0.4,0.1,0,3.7,116.2,15.1,2,0,133.3,116.2,6.1,2,0,124.2,0.9,0.1,349.9,314.9,126,35,14,5831,9374285.46575,1747996.0007,11122281.4665,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200336,AC,9443,18118,Prefeitura Municipal de Mâncio Lima,PM,0.9909,0.0032,0.0059,0,16.3,0.1,0.1,0,16.5,505.3,1.6,3,0,509.9,505.3,0.7,3,0,508.9,0.9,0.1,978.4,880.6,264.2,97.8,39.1,16306,19938573.5257,4104311.03484,24042884.5605,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200344,AC,5546,8567,Prefeitura Municipal de Manoel Urbano,PM,0.8035,0.1277,0.0688,0,7.3,1.2,0.6,0,9,240.6,38.2,20.6,0,299.5,240.6,15.3,20.6,0,276.5,1,0,462.6,462.6,69.4,0,0,8567,10044124.6728,2405775.89191,12449900.5647,Acima de 80%,Tratamento secundário avançado,Não,Não
1200351,AC,4424,14312,Prefeitura Municipal de Marechal Thaumaturgo,PM,0.777,0.1935,0.0295,0,5,1.3,0.2,0,6.5,185.6,46.2,7,0,238.9,185.6,18.5,7,0,211.2,0.9,0.1,772.8,695.5,278.2,77.3,30.9,12881,20630619.2267,3374842.64173,24005461.8685,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200385,AC,10736,14670,Prefeitura Municipal de Plácido de Castro,PM,0.7942,0.1395,0,0.0664,14.8,2.6,0,1.2,18.6,460.4,80.9,0,38.5,579.7,460.4,32.3,0,8.1,500.8,0.9,0.1,792.2,713,149.7,79.2,31.7,13203,15326344.0482,3672326.93575,18998670.9839,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200393,AC,3673,9131,Prefeitura Municipal de Porto Walter,PM,0.9753,0.0069,0.0178,0,4.4,0,0.1,0,4.6,193.4,1.4,3.5,0,198.3,193.4,0.5,3.5,0,197.5,0.9,0.1,493.1,443.8,177.5,49.3,19.7,8218,13191772.6126,2324147.42005,15515920.0326,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200401,AC,327970,433731,Departamento Estadual de Pavimentação e Saneamento,DEPASA,0.3191,0.1199,0,0.561,118.2,44.4,0,207.8,370.5,5651.2,2123.7,0,9935.5,17710.4,5651.2,849.5,0,1942.8,8443.5,1,0,23421.5,23421.5,477.2,0,0,433731,270468359.595,60325181.3996,330793540.995,Acima de 80%,Tratamento secundário avançado,Não,Não
1200427,AC,4789,7087,Prefeitura Municipal de Rodrigues Alves,PM,0.8494,0.1481,0.0025,0,5,0.9,0,0,5.9,219.7,38.3,0.7,0,258.6,219.7,15.3,0.7,0,235.6,0.9,0.1,382.7,344.4,137.8,38.3,15.3,6378,10300333.217,1883204.34754,12183537.5646,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
1200435,AC,2167,5033,Prefeitura Municipal de Santa Rosa do Purus,PM,0.9313,0.0597,0.009,0,2.9,0.2,0,0,3.2,109,7,1.1,0,117,109,2.8,1.1,0,112.8,0.9,0.1,271.8,244.6,97.8,27.2,10.9,4530,7296883.75837,1037206.91513,8334090.6735,Entre 60 e 80%,Tratamento secundário convencional,Não,Não
